company_name,Industry,Quantity,Month
Reliance Industries Limited,Petroleum Products,1696000,May
HDFC Bank Limited,Banks,2248000,May
State Bank of India,Banks,4300800,May
ITC Limited,Diversified FMCG,3581550,May
Aurobindo Pharma Limited,Pharmaceuticals & Biotechnology,2412100,May
IRB Infrastructure Developers Limited,Construction,48485400,May
Larsen & Toubro Limited,Construction,613000,May
Bikaji Foods International Limited,Food Products,3487764,May
Punjab National Bank,Banks,24970000,May
Tata Communications Limited,Telecom - Services,984297,May
LTIMindtree Limited,IT - Software,249350,May
Linde India Ltd.,Chemicals & Petrochemicals,295710,May
CRISIL Limited,Finance,296765,May
Escorts Kubota Limited,"Agricultural, Commercial & Construction Vehicles",511600,May
Anupam Rasayan India Limited,Chemicals & Petrochemicals,914865,May
Dr. Reddy's Laboratories Limited,Pharmaceuticals & Biotechnology,229000,May
UltraTech Cement Limited,Cement & Cement Products,127750,May
DLF Limited,Realty,2110000,May
Union Bank of India,Banks,12873000,May
Fortis Healthcare Ltd,Healthcare Services,2956542,May
Delta Corp Ltd,Leisure Services,3201218,May
Aegis Logistics Limited,Gas,2115348,May
HFCL Limited,Telecom - Services,11429268,May
Capri Global Capital Limited,Finance,947300,May
Tata Coffee Ltd.,Agricultural Food & other Products,2662000,May
Indian Hotels Co Ltd,Leisure Services,1359055,May
Stylam Industries Limited,Consumer Durables,326470,May
Strides Pharma Science Ltd,Pharmaceuticals & Biotechnology,1422000,May
Piramal Enterprises Limited,Finance,618870,May
Macrotech Developers Limited,Realty,869786,May
Hindalco Industries Limited,Non - Ferrous Metals,1056800,May
Voltas Limited,Consumer Durables,520000,May
Hindustan Copper Limited,Non - Ferrous Metals,3768150,May
India Pesticides Limited,Fertilizers & Agrochemicals,1826550,May
Jindal Steel & Power Ltd,Ferrous Metals,735000,May
Bosch Limited,Auto Components,16245,May
Honda India Power Products Limited,Industrial Manufacturing,115559,May
Network18 Media & Investments Limited,Entertainment,4150465,May
Nitin Spinners Limited,Textiles & Apparels,881369,May
Century Enka Limited,Textiles & Apparels,549076,May
Easy Trip Planners Limited,Leisure Services,4647707,May
Rossell India Limited,Aerospace & Defense,771625,May
Archean Chemical Industries Limited,Chemicals & Petrochemicals,375835,May
TV18 Broadcast Ltd,Entertainment,2500000,May
Arvind SmartSpaces Limited,Realty,168747,May
Lyka Labs Limited,Pharmaceuticals & Biotechnology,395857,May
Reliance Industries Limited,Petroleum Products,1767000,June
HDFC Bank Limited,Banks,2248000,June
State Bank of India,Banks,4300800,June
Aurobindo Pharma Limited,Pharmaceuticals & Biotechnology,2732100,June
ITC Limited,Diversified FMCG,3581550,June
LTIMindtree Limited,IT - Software,310850,June
Tata Communications Limited,Telecom - Services,1008297,June
Bikaji Foods International Limited,Food Products,3487764,June
Punjab National Bank,Banks,26970000,June
IRB Infrastructure Developers Limited,Construction,48485400,June
Linde India Ltd.,Chemicals & Petrochemicals,295710,June
CRISIL Limited,Finance,296765,June
Escorts Kubota Limited,"Agricultural, Commercial & Construction Vehicles",511600,June
UltraTech Cement Limited,Cement & Cement Products,127750,June
DLF Limited,Realty,2110000,June
Anupam Rasayan India Limited,Chemicals & Petrochemicals,914865,June
Union Bank of India,Banks,12873000,June
Delta Corp Ltd,Leisure Services,3501218,June
Fortis Healthcare Ltd,Healthcare Services,2656542,June
HFCL Limited,Telecom - Services,11429268,June
Larsen & Toubro Limited,Construction,296482,June
Capri Global Capital Limited,Finance,947300,June
Aegis Logistics Limited,Gas,2115348,June
Dr. Reddy's Laboratories Limited,Pharmaceuticals & Biotechnology,129000,June
Tata Coffee Ltd.,Agricultural Food & other Products,2662000,June
TV18 Broadcast Ltd,Entertainment,17345526,June
Strides Pharma Science Ltd,Pharmaceuticals & Biotechnology,1422000,June
Macrotech Developers Limited,Realty,869786,June
Piramal Enterprises Limited,Finance,618870,June
Voltas Limited,Consumer Durables,700000,June
TD Power Systems Ltd,Electrical Equipment,2025000,June
Hindustan Copper Limited,Non - Ferrous Metals,3768150,June
Jindal Steel & Power Ltd,Ferrous Metals,735000,June
India Pesticides Limited,Fertilizers & Agrochemicals,1826550,June
Rossell India Limited,Aerospace & Defense,912700,June
Bosch Limited,Auto Components,16245,June
Network18 Media & Investments Limited,Entertainment,4150465,June
Honda India Power Products Limited,Industrial Manufacturing,115559,June
Nitin Spinners Limited,Textiles & Apparels,921336,June
Century Enka Limited,Textiles & Apparels,549076,June
Sula Vineyards Limited,Beverages,500000,June
Mahindra CIE Automotive Limited,Auto Components,435000,June
IKIO LIGHTING LIMITED,Consumer Durables,490021,June
Archean Chemical Industries Limited,Chemicals & Petrochemicals,375835,June
Stylam Industries Limited,Consumer Durables,124905,June
Aavas Financiers Limited,Finance,80000,June
MANGALORE REFINERY & PETROCHEMICALS LTD,Petroleum Products,1500000,June
Arvind SmartSpaces Limited,Realty,206098,June
Graphite India Limited,Industrial Products,100000,June
Sun Pharmaceutical Industries Limited,Pharmaceuticals & Biotechnology,20000,June
Bharti Airtel Limited,Telecom - Services,14000,June
